Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
02/18/2020 00:05:00,CAPITL,61757,15.48,0.74,-3.27
02/18/2020 00:05:00,CENTRL,61754,12.01,0.13,-0.42
02/18/2020 00:05:00,DUNWOD,61760,14.88,1.01,-2.41
02/18/2020 00:05:00,GENESE,61753,11.54,-0.23,-0.3
02/18/2020 00:05:00,H Q,61844,11.18,-0.29,0
02/18/2020 00:05:00,HUD VL,61758,14.76,0.91,-2.39
02/18/2020 00:05:00,LONGIL,61762,15.35,1.47,-2.42
02/18/2020 00:05:00,MHK VL,61756,12.28,0.39,-0.42
02/18/2020 00:05:00,MILLWD,61759,14.85,0.95,-2.44
02/18/2020 00:05:00,N.Y.C.,61761,14.97,1.1,-2.41
02/18/2020 00:05:00,NORTH,61755,11.29,-0.17,0
02/18/2020 00:05:00,NPX,61845,15.84,0.81,-3.56
02/18/2020 00:05:00,O H,61846,11.26,-0.6,-0.39
02/18/2020 00:05:00,PJM,61847,13.28,0.34,-1.48
02/18/2020 00:05:00,WEST,61752,11.48,-0.38,-0.39
02/18/2020 00:10:00,CAPITL,61757,17.98,0.82,-4.78
02/18/2020 00:10:00,CENTRL,61754,13.12,0.12,-0.61
02/18/2020 00:10:00,DUNWOD,61760,16.98,1.08,-3.51
02/18/2020 00:10:00,GENESE,61753,12.57,-0.26,-0.45
02/18/2020 00:10:00,H Q,61844,12.08,-0.31,0
02/18/2020 00:10:00,HUD VL,61758,16.85,0.97,-3.5
02/18/2020 00:10:00,LONGIL,61762,17.46,1.56,-3.51
02/18/2020 00:10:00,MHK VL,61756,13.41,0.41,-0.62
02/18/2020 00:10:00,MILLWD,61759,16.96,1.02,-3.56
02/18/2020 00:10:00,N.Y.C.,61761,17.08,1.18,-3.51
02/18/2020 00:10:00,NORTH,61755,12.19,-0.2,0
02/18/2020 00:10:00,NPX,61845,18.11,0.87,-4.86
02/18/2020 00:10:00,O H,61846,12.29,-0.67,-0.57
02/18/2020 00:10:00,PJM,61847,14.91,0.36,-2.16
02/18/2020 00:10:00,WEST,61752,12.51,-0.45,-0.57
02/18/2020 00:15:00,CAPITL,61757,15.78,0.85,-2.21
02/18/2020 00:15:00,CENTRL,61754,13.13,0.13,-0.28
02/18/2020 00:15:00,DUNWOD,61760,15.44,1.09,-1.62
02/18/2020 00:15:00,GENESE,61753,12.66,-0.27,-0.21
02/18/2020 00:15:00,H Q,61844,12.39,-0.33,0
02/18/2020 00:15:00,HUD VL,61758,15.32,0.98,-1.62
02/18/2020 00:15:00,LONGIL,61762,15.9,1.55,-1.62
02/18/2020 00:15:00,MHK VL,61756,13.43,0.42,-0.29
02/18/2020 00:15:00,MILLWD,61759,15.41,1.04,-1.64
02/18/2020 00:15:00,N.Y.C.,61761,15.54,1.2,-1.62
02/18/2020 00:15:00,NORTH,61755,12.49,-0.23,0
02/18/2020 00:15:00,NPX,61845,16.27,0.9,-2.65
02/18/2020 00:15:00,O H,61846,12.26,-0.72,-0.26
02/18/2020 00:15:00,PJM,61847,14.08,0.36,-1
02/18/2020 00:15:00,WEST,61752,12.5,-0.48,-0.27
02/18/2020 00:20:00,CAPITL,61757,18.41,0.75,-6.6
02/18/2020 00:20:00,CENTRL,61754,12.02,0.11,-0.84
02/18/2020 00:20:00,DUNWOD,61760,16.85,0.94,-4.85
02/18/2020 00:20:00,GENESE,61753,11.47,-0.21,-0.61
02/18/2020 00:20:00,H Q,61844,10.78,-0.29,0
02/18/2020 00:20:00,HUD VL,61758,16.74,0.85,-4.83
02/18/2020 00:20:00,LONGIL,61762,17.25,1.34,-4.85
02/18/2020 00:20:00,MHK VL,61756,12.29,0.36,-0.86
02/18/2020 00:20:00,MILLWD,61759,16.87,0.9,-4.92
02/18/2020 00:20:00,N.Y.C.,61761,16.94,1.03,-4.85
02/18/2020 00:20:00,NORTH,61755,10.86,-0.2,0
02/18/2020 00:20:00,NPX,61845,17.92,0.77,-6.08
02/18/2020 00:20:00,O H,61846,11.25,-0.6,-0.79
02/18/2020 00:20:00,PJM,61847,14.34,0.3,-2.98
02/18/2020 00:20:00,WEST,61752,11.46,-0.4,-0.79
02/18/2020 00:25:00,CAPITL,61757,15.39,0.85,-1.89
02/18/2020 00:25:00,CENTRL,61754,13.03,0.14,-0.24
02/18/2020 00:25:00,DUNWOD,61760,15.1,1.06,-1.39
02/18/2020 00:25:00,GENESE,61753,12.61,-0.22,-0.18
02/18/2020 00:25:00,H Q,61844,12.32,-0.33,0
02/18/2020 00:25:00,HUD VL,61758,15,0.96,-1.39
02/18/2020 00:25:00,LONGIL,61762,15.55,1.5,-1.39
02/18/2020 00:25:00,MHK VL,61756,13.31,0.42,-0.25
02/18/2020 00:25:00,MILLWD,61759,15.07,1.01,-1.41
02/18/2020 00:25:00,N.Y.C.,61761,15.21,1.16,-1.39
02/18/2020 00:25:00,NORTH,61755,12.42,-0.23,0
02/18/2020 00:25:00,NPX,61845,15.57,0.89,-2.03
02/18/2020 00:25:00,O H,61846,12.24,-0.63,-0.23
02/18/2020 00:25:00,PJM,61847,13.87,0.37,-0.86
02/18/2020 00:25:00,WEST,61752,12.47,-0.41,-0.23
02/18/2020 00:30:00,CAPITL,61757,18.4,0.73,-6.69
02/18/2020 00:30:00,CENTRL,61754,11.96,0.11,-0.86
02/18/2020 00:30:00,DUNWOD,61760,16.83,0.92,-4.92
02/18/2020 00:30:00,GENESE,61753,11.43,-0.19,-0.62
02/18/2020 00:30:00,H Q,61844,10.71,-0.29,0
02/18/2020 00:30:00,HUD VL,61758,16.72,0.84,-4.89
02/18/2020 00:30:00,LONGIL,61762,17.22,1.31,-4.92
02/18/2020 00:30:00,MHK VL,61756,12.22,0.36,-0.87
02/18/2020 00:30:00,MILLWD,61759,16.86,0.88,-4.98
02/18/2020 00:30:00,N.Y.C.,61761,16.93,1.02,-4.92
02/18/2020 00:30:00,NORTH,61755,10.79,-0.2,0
02/18/2020 00:30:00,NPX,61845,17.92,0.77,-6.16
02/18/2020 00:30:00,O H,61846,11.23,-0.56,-0.8
02/18/2020 00:30:00,PJM,61847,14.32,0.31,-3.02
02/18/2020 00:30:00,WEST,61752,11.43,-0.36,-0.8
02/18/2020 00:35:00,CAPITL,61757,16.41,0.74,-4.4
02/18/2020 00:35:00,CENTRL,61754,11.94,0.11,-0.56
02/18/2020 00:35:00,DUNWOD,61760,15.45,0.95,-3.23
02/18/2020 00:35:00,GENESE,61753,11.48,-0.19,-0.41
02/18/2020 00:35:00,H Q,61844,10.98,-0.28,0
02/18/2020 00:35:00,HUD VL,61758,15.34,0.86,-3.22
02/18/2020 00:35:00,LONGIL,61762,15.82,1.32,-3.23
02/18/2020 00:35:00,MHK VL,61756,12.2,0.36,-0.57
02/18/2020 00:35:00,MILLWD,61759,15.44,0.9,-3.28
02/18/2020 00:35:00,N.Y.C.,61761,15.53,1.04,-3.23
02/18/2020 00:35:00,NORTH,61755,11.06,-0.2,0
02/18/2020 00:35:00,NPX,61845,15.84,0.78,-3.8
02/18/2020 00:35:00,O H,61846,11.2,-0.59,-0.52
02/18/2020 00:35:00,PJM,61847,13.56,0.3,-1.99
02/18/2020 00:35:00,WEST,61752,11.42,-0.37,-0.53
02/18/2020 00:40:00,CAPITL,61757,16.39,0.74,-4.38
02/18/2020 00:40:00,CENTRL,61754,11.93,0.1,-0.56
02/18/2020 00:40:00,DUNWOD,61760,15.43,0.95,-3.22
02/18/2020 00:40:00,GENESE,61753,11.47,-0.2,-0.41
02/18/2020 00:40:00,H Q,61844,10.99,-0.28,0
02/18/2020 00:40:00,HUD VL,61758,15.33,0.86,-3.21
02/18/2020 00:40:00,LONGIL,61762,15.79,1.31,-3.22
02/18/2020 00:40:00,MHK VL,61756,12.2,0.36,-0.57
02/18/2020 00:40:00,MILLWD,61759,15.43,0.9,-3.26
02/18/2020 00:40:00,N.Y.C.,61761,15.52,1.04,-3.22
02/18/2020 00:40:00,NORTH,61755,11.07,-0.2,0
02/18/2020 00:40:00,NPX,61845,15.83,0.78,-3.79
02/18/2020 00:40:00,O H,61846,11.2,-0.59,-0.52
02/18/2020 00:40:00,PJM,61847,13.54,0.29,-1.98
02/18/2020 00:40:00,WEST,61752,11.41,-0.38,-0.53
02/18/2020 00:45:00,CAPITL,61757,15.28,0.75,-3.15
02/18/2020 00:45:00,CENTRL,61754,11.92,0.14,-0.4
02/18/2020 00:45:00,DUNWOD,61760,14.64,0.94,-2.32
