Time Stamp,Name,PTID,LBMP,Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
02/01/2020 00:00,CAPITL,61757,17.11,0.97,-1.66
02/01/2020 00:00,CENTRL,61754,14.97,0.27,-0.21
02/01/2020 00:00,DUNWOD,61760,17.23,1.53,-1.21
02/01/2020 00:00,GENESE,61753,14.55,-0.09,-0.15
02/01/2020 00:00,H Q,61844,14.02,-0.46,0
02/01/2020 00:00,HUD VL,61758,17.02,1.33,-1.21
02/01/2020 00:00,LONGIL,61762,20.61,2.11,-4.01
02/01/2020 00:00,MHK VL,61756,15.11,0.4,-0.22
02/01/2020 00:00,MILLWD,61759,17.14,1.43,-1.23
02/01/2020 00:00,N.Y.C.,61761,17.42,1.72,-1.21
02/01/2020 00:00,NORTH,61755,13.93,-0.55,0
02/01/2020 00:00,NPX,61845,18.34,1.38,-2.48
02/01/2020 00:00,O H,61846,14.32,-0.36,-0.2
02/01/2020 00:00,PJM,61847,15.95,0.72,-0.75
02/01/2020 00:00,WEST,61752,14.7,0.01,-0.2
02/01/2020 01:00,CAPITL,61757,14.35,0.9,0
02/01/2020 01:00,CENTRL,61754,13.73,0.28,0
02/01/2020 01:00,DUNWOD,61760,14.81,1.36,0
02/01/2020 01:00,GENESE,61753,13.46,0.01,0
02/01/2020 01:00,H Q,61844,13.02,-0.43,0
02/01/2020 01:00,HUD VL,61758,14.66,1.21,0
02/01/2020 01:00,LONGIL,61762,19.07,1.91,-3.71
02/01/2020 01:00,MHK VL,61756,13.81,0.36,0
02/01/2020 01:00,MILLWD,61759,14.74,1.29,0
02/01/2020 01:00,N.Y.C.,61761,15,1.55,0
02/01/2020 01:00,NORTH,61755,12.93,-0.52,0
02/01/2020 01:00,NPX,61845,17.5,1.25,-2.8
02/01/2020 01:00,O H,61846,13.27,-0.18,0
02/01/2020 01:00,PJM,61847,14.16,0.71,0
02/01/2020 01:00,WEST,61752,13.61,0.16,0
02/01/2020 02:00,CAPITL,61757,13.01,0.82,0
02/01/2020 02:00,CENTRL,61754,12.46,0.27,0
02/01/2020 02:00,DUNWOD,61760,13.41,1.22,0
02/01/2020 02:00,GENESE,61753,12.21,0.02,0
02/01/2020 02:00,H Q,61844,11.79,-0.4,0
02/01/2020 02:00,HUD VL,61758,13.27,1.08,0
02/01/2020 02:00,LONGIL,61762,15.41,1.72,-1.5
02/01/2020 02:00,MHK VL,61756,12.51,0.32,0
02/01/2020 02:00,MILLWD,61759,13.35,1.16,0
02/01/2020 02:00,N.Y.C.,61761,13.59,1.4,0
02/01/2020 02:00,NORTH,61755,11.69,-0.5,0
02/01/2020 02:00,NPX,61845,16.57,1.12,-3.26
02/01/2020 02:00,O H,61846,12.09,-0.1,0
02/01/2020 02:00,PJM,61847,12.86,0.67,0
02/01/2020 02:00,WEST,61752,12.4,0.21,0
02/01/2020 03:00,CAPITL,61757,12.27,0.77,0
02/01/2020 03:00,CENTRL,61754,11.74,0.24,0
02/01/2020 03:00,DUNWOD,61760,12.65,1.15,0
02/01/2020 03:00,GENESE,61753,11.5,0,0
02/01/2020 03:00,H Q,61844,11.12,-0.38,0
02/01/2020 03:00,HUD VL,61758,12.53,1.02,0
02/01/2020 03:00,LONGIL,61762,15.34,1.62,-2.21
02/01/2020 03:00,MHK VL,61756,11.8,0.3,0
02/01/2020 03:00,MILLWD,61759,12.6,1.09,0
02/01/2020 03:00,N.Y.C.,61761,12.83,1.32,0
02/01/2020 03:00,NORTH,61755,11.04,-0.46,0
02/01/2020 03:00,NPX,61845,16.59,1.06,-4.03
02/01/2020 03:00,O H,61846,11.39,-0.12,0
02/01/2020 03:00,PJM,61847,12.12,0.62,0
