Time Stamp,Name,PTID,LBMP,Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
02/01/2020 00:00,CAPITL,61757,18.80416667,0.97,-1.66
02/01/2020 00:00,CENTRL,61754,17.97083333,0.27,-0.21
02/01/2020 00:00,DUNWOD,61760,19.2225,1.53,-1.21
02/01/2020 00:00,GENESE,61753,17.40416667,-0.09,-0.15
02/01/2020 00:00,H Q,61844,17.08833333,-0.46,0
02/01/2020 00:00,HUD VL,61758,19.05166667,1.33,-1.21
02/01/2020 00:00,LONGIL,61762,19.79916667,2.11,-4.01
02/01/2020 00:00,MHK VL,61756,18.15666667,0.4,-0.22
02/01/2020 00:00,MILLWD,61759,19.13583333,1.43,-1.23
02/01/2020 00:00,N.Y.C.,61761,19.37166667,1.72,-1.21
02/01/2020 00:00,NORTH,61755,17.10833333,-0.55,0
02/01/2020 00:00,NPX,61845,19.09416667,1.38,-2.48
02/01/2020 00:00,O H,61846,16.85583333,-0.36,-0.2
02/01/2020 00:00,PJM,61847,18.2575,0.72,-0.75
02/01/2020 00:00,WEST,61752,17.25416667,0.01,-0.2
02/01/2020 01:00,CAPITL,61757,17.63583333,0.9,0
02/01/2020 01:00,CENTRL,61754,16.84083333,0.28,0
02/01/2020 01:00,DUNWOD,61760,18.0025,1.36,0
02/01/2020 01:00,GENESE,61753,16.30166667,0.01,0
02/01/2020 01:00,H Q,61844,16.01166667,-0.43,0
02/01/2020 01:00,HUD VL,61758,17.83916667,1.21,0
02/01/2020 01:00,LONGIL,61762,18.535,1.91,-3.71
02/01/2020 01:00,MHK VL,61756,16.9925,0.36,0
02/01/2020 01:00,MILLWD,61759,17.92333333,1.29,0
02/01/2020 01:00,N.Y.C.,61761,18.15,1.55,0
02/01/2020 01:00,NORTH,61755,16.01833333,-0.52,0
02/01/2020 01:00,NPX,61845,17.95083333,1.25,-2.8
02/01/2020 01:00,O H,61846,15.81666667,-0.18,0
02/01/2020 01:00,PJM,61847,17.11,0.71,0
02/01/2020 01:00,WEST,61752,16.1725,0.16,0
02/01/2020 02:00,CAPITL,61757,16.28166667,0.82,0
02/01/2020 02:00,CENTRL,61754,15.57666667,0.27,0
02/01/2020 02:00,DUNWOD,61760,16.57833333,1.22,0
02/01/2020 02:00,GENESE,61753,15.125,0.02,0
02/01/2020 02:00,H Q,61844,14.84083333,-0.4,0
02/01/2020 02:00,HUD VL,61758,16.4325,1.08,0
02/01/2020 02:00,LONGIL,61762,17.07416667,1.72,-1.5
02/01/2020 02:00,MHK VL,61756,15.705,0.32,0
02/01/2020 02:00,MILLWD,61759,16.50583333,1.16,0
02/01/2020 02:00,N.Y.C.,61761,16.71166667,1.4,0
02/01/2020 02:00,NORTH,61755,14.86833333,-0.5,0
02/01/2020 02:00,NPX,61845,16.54166667,1.12,-3.26
02/01/2020 02:00,O H,61846,14.70416667,-0.1,0
02/01/2020 02:00,PJM,61847,15.79166667,0.67,0
02/01/2020 02:00,WEST,61752,15.01916667,0.21,0
02/01/2020 03:00,CAPITL,61757,17.485,0.77,0
02/01/2020 03:00,CENTRL,61754,16.74333333,0.24,0
